204;-0.4748890039;-0.3394955007;-0.8874359092;-1.1448348791;-0.9419008576;-1.5248182954;-1.3782507470;
268;0.3202274223;-0.5709371498;-0.6574350535;0.3457105371;0.3475663658;0.5731677493;0.6196295043;
333;0.2979632399;-0.5636930289;-0.2711350985;0.2192663629;-0.0000022980;0.1855495237;0.0070513849;
441;0.3447110364;-0.4290422873;-0.1267149664;-0.7801901427;-0.6906032525;-1.1431234892;-1.1206515004;
544;-0.3281338486;-0.6326566018;-0.4747783672;0.2347486603;0.0217019319;0.3184160542;0.1965473418;
654;0.2518193377;-0.4458135869;-0.1570552027;0.0948950617;-0.2091638930;0.4508447008;0.4327706854;
731;0.6103472993;-0.3360240776;-0.0519580997;-0.1228029999;-0.0220720424;-0.2296286210;-0.2015552520;
839;-0.4178382151;-0.7948994628;-1.3375007189;-0.7740183777;0.3066923752;-0.3034096384;0.6582858676;
918;0.6129815897;-1.1730215512;-1.5532425584;-1.3274079095;-0.2245325620;-0.7472393470;0.3825142098;
1002;-0.8888104837;-1.5961413381;-1.1871838098;0.8004934743;1.3841546031;0.3186167421;0.2710083098;
1076;2.1159570303;-0.9792664835;0.2444240963;0.5734539534;0.6179993550;0.4399026813;0.2977045020;
1174;-0.9760049865;-1.1854612288;-0.8793988474;0.3463626300;0.4331096617;0.3310956396;0.3095543141;
1266;-0.2586390014;-0.5168665252;0.7471826011;0.5593629010;-0.5091650075;0.4068364630;-0.3691265017;
1832;1.3925163959;1.1919869763;-0.2139775983;-0.9027277901;-0.5580969759;-0.7720371270;-0.3515603911;
1894;-0.2037402530;0.1345924458;-2.2829041588;-4.3809545082;-2.2733937882;-4.2634673057;-2.1848654296;
1960;1.4021952454;-1.1274121110;-2.1489309896;1.8312063696;1.5959069142;2.6320614492;2.5601731360;
2023;1.3958919911;-1.2358441860;-1.0313231104;-1.8324612271;-2.1648629312;-2.4210361196;-2.5418104491;
2091;0.3324770350;-1.9020098197;-2.1235788246;-1.1240025435;-1.6106776864;0.0222018939;0.4992264288;
2152;0.5954572134;-2.2418500757;-1.9529298999;0.6907847540;1.8629291672;1.0016944289;1.6723289460;
2219;0.8234309908;-2.1456083123;-1.1762036665;0.8169187317;1.3936321228;1.1642201092;1.5022617432;
2313;0.8315570572;-2.0072520754;-1.3556903815;-1.1161284093;-0.5540691646;-0.8432226585;-0.1949524175;
2376;-0.7263805044;-2.2875411003;-1.9032194837;-0.5712313943;0.1612228113;-0.1034953537;0.6275415236;
2450;0.4130889804;-2.4940961714;-2.3491850953;-1.3662166395;0.1852419712;-0.8125728803;0.5555263906;
2517;-0.7291522051;-2.7160917087;-1.8382642214;-0.0795036893;-0.0892195022;0.3344184164;0.5395544720;
2588;-0.6367963912;-2.1765478410;-0.1757485663;2.6392206386;1.9672643173;2.9962600006;2.3339202509;
2662;-1.5835570908;-0.8429818242;1.3213049856;0.3955354160;-0.8297694987;0.1580078945;-0.7179338155;
2725;0.0730890005;0.1118825816;1.5627454795;0.3174624034;-0.0455727112;-0.0001565493;-0.4129798892;
2835;0.0409029889;-0.1239254327;-0.9935509003;-0.4071204646;0.3117204942;0.2559716742;1.0407183082;
2911;-1.1016499589;-0.4591430308;-0.5837989682;0.2684377571;-0.0017092374;-0.0969284929;-0.4710763394;
2991;-0.0409794997;0.0279705217;0.6550199367;-1.1346938058;-2.1360686733;-1.6607450541;-2.2656290543;
3056;1.0119067959;0.0912186216;0.3497876322;0.6580101645;0.7366056283;0.2429524426;-0.0295676603;
